epoch,train_loss,val_loss,train_action_accuracy,val_action_accuracy,grad_norm_mean,grad_norm_max,eval_mean_return,eval_return_std,eval_return_min,eval_return_max,eval_success_rate,eval_length_mean,eval_length_std,eval_action_counts_json,best_val_return,learning_rate,epoch_time_sec,model_label
1,0.5934232944029348,0.461904612382253,0.6941842410196988,0.8207629768605378,0.8453501659190213,8.678704261779785,401.9,128.53672626918737,150.0,500.0,0.7,401.9,128.53672626918737,"[2035, 1984]",401.9,0.0009943891696521,64.91556429862976,none
2,0.4623960000938839,0.4409577282269796,0.8187636152954809,0.8352407754846779,0.4487651842170291,1.5103944540023804,497.6,4.882622246293481,486.0,500.0,1.0,497.6,4.882622246293481,"[2496, 2480]",497.6,0.0008984777411839,94.96059679985046,none
3,0.4535548050756807,0.4434477575620015,0.8258169177288528,0.8333750260579529,0.3477632977123613,1.2386524677276611,498.4,4.8,484.0,500.0,1.0,498.4,4.8,"[2490, 2494]",498.4,0.0007055366715828,69.73245620727539,none
4,0.4500562270923897,0.4411710047721863,0.8286952491309386,0.8334375651448822,0.3056324898534351,0.7014777660369873,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2504, 2496]",500.0,0.0004625472619562,75.62770867347717,none
5,0.4477032891467765,0.4378539522488912,0.8302896871378911,0.8385240775484678,0.2713066457819055,0.6279131174087524,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2510, 2490]",500.0,0.0002286776232886,73.20065426826477,none
6,0.4459242663118574,0.4374086161454518,0.83179258400927,0.8384615384615385,0.2508664160525357,0.5796463489532471,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2508, 2492]",500.0,6.087519521458018e-05,88.9437608718872,none
7,0.4449620099862416,0.4370869787534078,0.8324762456546929,0.8381801125703565,0.236058308173109,0.4663062393665313,499.6,1.2000000000000002,496.0,500.0,1.0,499.6,1.2000000000000002,"[2507, 2489]",500.0,0.0,100.37803816795348,none
1,0.6039126970149853,0.4905092163880666,0.6855735805330243,0.793839899937461,0.6747411142896723,7.9448089599609375,54.2,56.05675695221764,10.0,141.0,0.0,54.2,56.05675695221764,"[277, 265]",54.2,0.0009943891696521,44.95657444000244,gru
2,0.4614861018127865,0.4381711288293202,0.8208180764774045,0.8385553470919325,0.5031270493401422,2.561920404434204,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2492, 2508]",500.0,0.0008984777411839,73.87910389900208,gru
3,0.4451260692543454,0.4428851040204366,0.8329837775202781,0.8334271419637274,0.3454935875314253,1.3832426071166992,500.0,0.0,500.0,500.0,1.0,500.0,0.0,"[2485, 2515]",500.0,0.0007055366715828,85.22661590576172,gru
